a 	in.ar 	ሓዶ	አንድ
abandon	v	ምሕዳግ	መተው	
abandoned 	adj	ዝወደ	የተጣለ	
abasement	v	ውርደት	ውርደት	
abash	v	መሕፈሪ	አሳፋሪ	
abate 	v	ቀኒሲ	ቀነሰ፣ ደከመ	
abdomen 	n	ከብዲ	ሆድ	
abhorrence	n	ዕሊኢት	ጥላቻ	
abide 	vi	አይቐርን	አይቀርም	
ability 	n	ክእለት	ችሎታ	
abject	adj	ዘስቐቐ	አሰቃቂ	
able	adj	ኪኢላ	ችሎታ ያለው	
ablation 	n	ምሕፃብ	መታጠብ	
abnegate	vt	ምንዓቐ	መናቅ	
abode	vt	መንበሪ	መኖሪያ	
abolition	n	ጥፍኣት	ማጥፋት	
abominate	vt	ምዕላእ	መጥላት	
abort	iv	ጨንጊት	ጨነገፈ	
abound	adj	መሊሉ	ሞለ፣ተትረፈረፈ	
about	adj	ብዝዕባ፣ ደርጋ አስታት	ይህል፣ ገደማ ስለ	
above	adj	አብላዕሊ፣ ብዝያዳ	ላይ፣ ከላይ	
abrasion	n	መፍሓች	መፋቅ	
abridge 	v	አሕፂሩ	አሰሳጠረ	
abroad	adv	መፃኢ ሃገር	ውጭ አገር	
abrogate	vt	ሰዒሩ	ሻረ	
abupt 	adj	ሃንደበት	ድንገተኛ	
abscess 	n	ሕባጥ	እባጭ	
abscond	v	ምህዳም፣ ምሕባእ	መሸሽ	
absent 	adj	ቡኹር (ካብ ትምህርቲ ወይስ ስራሕ)፣ቀራይ	ቀሪ	
absent minded 	adj	ሃሳስ	ዝንጉ	
absorb 	v	መጢጡ	ያዘ፣ መጠጠ	
absstain 	v	ተቐጢቡ	ተጠበቀ፣ ተቆጠበ	
abundance	n	ብዝሓት	ብዛት	
abuse 	n	ዐርፈ	ስድብ	
abut 	vi	ዝተተሓሓዘ	የተያያዘ፣ ጎን	
abyss 	n	ገደል፣ አድፊ	ገደል	
acacia 	n	ሰስው፣ ልሓይ፣ ጫዓ፣ ሞና፣ ዝመስሉ አእዋም	ግራር	
accede	v	ወሪሱ፣ ተቐቢሉ	ወረሰ፣ ተቀበለ	
accelerate 	vt	ሓይሊ ወሲ ኹሉ	ፍጥነት ጨመረ	
accept	v	ሕራይ ኢሎሎ	እሺ አለ	
acceptable 	adj	ዘዝስማዕማዕ፣ ቅቡል	ተስማሚ	
accession 	adj	ምውሳኽ	መጨመር	
accident 	n	ድንገት፣ ሓደጋ	ድንገተት፣ አደጋ	
acclimate 	v	ለሚዱ	ለመደ	
accompany 	n	ምዕጃብ	ማጀብ	
accomplishment 	n	ስራሕ	ሥራ	
accord 	n	ስምምዕ	ስምምነት	
accrue 	vi	ወስኸ	ጨመረ	
accurate 	adj	ትኸክል	ትክክለኛ	
accusation 	n	ኽስ	ክስ	
accused 	adj	ተኽሳሲ	ተከሳሽ	
accuser 	n	ከሳሲ	ከሳሽ 	
ache 	n	ቀቃንዛ	ህመም	
achieve 	v	ስሪሕ፣ ጨረሱ፣ ዛዚሙ፣	ሠራ፣ ፈጸመ	
acne 	n	ፈፀጋ፣ ንፍሩር (ሕማም)	ብጉር	
acquaintance 	n	ዐዕርክነት	ጓደኝነት	
acquire 	v	ኣግኒዩ	አገኘ	
acquit 	n	ብናፃ ተለቐቑ	በነፃ ተለቀቀ	
acre 	n	ስፍሓት ልክዕ መሬት መለክዒ	የመሬት ስፋት መለኪያ	
across 	adv	ማዕዶ፣ ሰገር	ከዳር እዳር	
acting 	adj	ተጠባባቒ	ተጠበባባቂ	
active 	adj	ገጎበዝ፣ንቑሕ	ብርቱ፣ ንቁ	
adan 	n	መሀመርታ ሰብ	አዳም	
add 	v	ምውሳኽ፣ ምድማር ቑዕሪ	መጨመር፣ መደመር	
addict 	n	ውሉፍ፣ ምውላፍ	ሱሰኛ	
addition 	n	ወልፊ	ሱስ	
addition 	n	ድምር	ድምር	
address 	v	ኣድራሻ	አድራሻ	
adept 	adj	በዓልሙያ	በባለሙያ	
adjure 	vt	ለሚኑ	ለመነ	
adjust 	vt	ኣስተኻኺሉ 	አስተካከለ	
adjutant 	n	ረዳኢ፣ ሓጋዚ	ረዳት	
administration 	n	ምምሕዳር	አስተዳደር	
administrator 	n	አማሓዳሪ	አስተዳዳሪ	
admiral 	n	ዋና አዛዚ ሓይሊ ባሕሪ	የባህር ሀይል አዛዥ	
adolescent 	n	ኮርዒዳ፣ መንእሰይ	ጎረምሳ፣ ኮረዳ 	
adoration 	n	ምኽባር 	ማክበር	
adore 	v	ኣፍቂሩ	አፈቀረ	
adorn 	v	አጋይዑ፣ አመልኪዑ	አስጌጠ	
adroit 	adj	ፈላጢ፣ መይላ ዘለዎ	ዘዴኛ	
adult 	adj	በዕሒ፣ ንዓቐሚ ኣዳም ዝበዕሓ	ገጎልማሳ፣ አዋቂ	
adulteress 	n	ዘማዊ ሰበይቲ	ዘማዊ ሴት	
adultery 	n	ዝሙት፣ ዕጥራን	ዝሙት	
advanced 	adj	ላዕለዋይ	ከፍተኛ	
adventitious 	adj	ተወሳኺ	ተጨማሪ፣ በአጋጣሚ የሚመጣ	
adversity 	n	መከራ፣ ስቓይ	መከራ	
advertisement 	n	ሓበሬታኣቑሑ ንምሣጥን ንምግዛእን ዝማሓለለፍ	ማስታወቂያ	
advertiser 	n	ሓበባሪ ምልክታ፣ መፋለቲ	አስተዋዋቂ	
advertise 	v	ምልክታ ምትሕልላፍ	ማስታወቅ	
advisory 	adj	ማአማኻሪ	አማካሪ	
advocate 	n	ጠበቓ	ጠበቃ	
adze 	n	ማሕዐ፣ ምሳር	መጥረቢያ	
aerial 	n	ኣንቴና	አንቴና	
afar 	adv	ርሑቕ	ሩቅ	
affection 	n	ፍቕሪ	ፍቅር	
affiliation 	v	ሕውነት	ዝምድና	
affinity 	n	ተመሳሳሊ	ተመሳሳይ	
afflict 	v	ብጣዕሚ ጎዲኡ	በጣም ጎዳ	
afflient 	n	ብዓልአጋ	ባለፀጋ	
afford 	v	ሃበ	ሰጠ	
affromt 	v	ኣዋሪዱ	አዋረደ	
afoot 	adv,adj	ብእግሪ	በእግር	
afraid 	v	ፈራሕ ምኻን	መፍራት	
after 	prep	ድሕሪ	በ-ኃላ	
again 	adv	ከምባሓዱሽ፣ እንደገና	እንደገና	
against 	prep	ኣንፃር	ከ-አንፃር	
age 	n	ዕድመ	ዕድሜ	
aged 	adj	ብዕድመ ዝበሰለ	በዕድሜ የበሰለ	
agent 	n	ወኪል	ወኪል	
aggrandize 	vt	ኣዕቢዩ	አሳደገ	
aggravate 	adj	አጋዲዱዎ	አባባሰ	
aggregate 	vt	አጠቓሊሉ	አጠቃለለ	
aghast 	adj	ደንጊዑ	ክው ክሎ ደነገጠ	
aglow 	adj	ኣብሪሁ	አበራ	
agree 	v	ተስማዕሚዑ	ተስማማ	
agreement 	n	ስምምዕ	ስምምነት	
ailment 	n	ሕማም	ህመም	
air 	n	አየር	አየር	
air craft 	n	ዝኾነት አይነት ነፋሪት	አውሮፕላን፣ ጢያራ	
air force 	n	ሓይሊ አየር	አየር ሀይል	
airlines 	n	መጓዓዝያ አውሮፕላን፣ መንገዲ አየር	አየር መንገድ	
air mail 	n	መልእኽቲ አየር	የአየር መልዕከት	
air plane 	n	ነፋሪት፣ ኣውሮፕላ	ጠጢያራ፣ አውሮፕላን	
air port 	n	መዕርፎ ነፈርቲ	የአውሮፕላን ማረፊያ	
album 	n	ማህደር ስእሊ	የፎቶግራፍ፣ ማኖሪያ	
alcove 	n	ጓዳ፣ ዊሻጠ	ጓዳ	
alfalfa 	n	ሰሳዕሪ ንኽብቲ ቀለብ ዝኸውን	ለከብት ቀለም የሚሆን ሳር	
alien 	n	ባዕዲ፣ ዘይውሉድ	የውጭ አገር ዜጋ	
alike 	adj	ዝመስል	መሳይ	
aliment 	n	ምግብ	ምግብ	
alive 	adj	ህልው	በህይወት ያለ	
all 	n,adj	ኩሉ፣ ብምሉኡ	ሁሉ	
allege 	v	ኢሉ	አለ	
alley 	n	ዐቢብ መንገዲ	ጠባብ መንገድ	
alligator 	n	ዓንጉግ ዓይነት፣ ሓርገዕ	አርጃኖ፣ አዞ	
allot 	v	ምክፋል	ማካፈል	
allow 	v	ፍቃድ ምሃብ	መፍቀድ	
all right 	adv	ሕራይ፣ ደሓን	አጥጋቢ	
almost 	adv	ደዳርጋ	ለ-ነበር	
alms 	adv	ምዕዋት	ምፅዋት	
alone	adv	ነንበይኑ	ብቻ	
alphabet 	n	ፊደል	ፊደል	
also 	adv	ከምኡውን፣ እንኮላይ	ደግሞ	
altercation 	n	ዕልኢ፣ ባእሲ	ንትርክ	
although 	coni	ተኾነስ	ቢሆንም	
altitude 	n	ብራኽ	ከፍታ	
altogether 	adv	ብኹሉ	በጠቅላላ	
always 	adv	ኩሉ ጊዜ	ሁልጊዜ	
amalgamate 	v	ዝተሓዋወስ	የተቀላቀለ	
amalgamation 	v	ተሓዋዊሱ	ድብልቅ	
ambition 	n	ትምኒት	ምኞት	
ambulance 	n	መጓዓዝያ ሕሙማት	አምቡላንስ	
amiss 	adj	ጎዲሉ	ጉድለት	
amoeba 	n	ኣሜባ	አሜባ	
among 	prep	ኣብ ሞንጎ ብዙሓት	ከ-መሀል	
amount 	n	ድምር፣ ብዝሓት	መጠን	
amusement 	n	ደስታ፣ ሓጎስ	ደስታ፣ መደሰቻ	
an 	nid-arti	ሓደ	አንድ	
anesthesia 	n	መደንዘዚ (አብ)	ሰመመን	
anarchy 	n	ዕልኢ፣ ባእሲ	ግርግር	
angel 	n	መልኣኽ	መልአክ	
anger 	n	ቁጠዓ	ንዴት	
angry 	n	ኾራዩ	ቁጡ	
animal 	n	እንስሳ፣ ኸብቲ	እንሰሳ	
animosity 	n	ዐዕልኢ	ጥላቻ	
annals 	s	ዘዜና፣ ታሪኽ	ዜና፣ ታሪክ	
anniversary 	n	ዝኽረ ዓመት	በዓል	
annuciation 	n	ናይ ብስራት	የምስራች	
anoint 	v	ቀቢኡ	ቀባ	
another 	adj	ካሊእ	ሌላ	
answer 	n	መልሲ	መልስ	
antelope 	n	ሰሳሕ፣ ዓጋዘን	ድኩላ፣ አጋዘን	
antenna 	n	አንቴና ኣብ ራዲ፣ ቴሌቪዥን ዝግበር	አንቴና	
antique 	adj	ናይቀደም	የጥንት	
antithesis 	n	ተቓራኒ	ተቃራኒ	
antler 	n 	ቀርኒ	ቀንድ	
any 	adj	ዝኾነ	ማንም፣ አንዳች	
any body	perp	ዝዝኾነ ሰብ	ማንኛውም ሰው	
any one 	prep	ዝኾነ ሰብ	ማንኛውም ሰው	
any thing	prep	ዝኾነ ነገር	የሆነ ነገር	
any way 	adv	በብዙኾነ ኾይኑ	የሆነ ሆነ	
any where 	adv	ኣብ ዝኾነ ቦታ 	የትም	
apartment 	n	በብዙሕ ህዝቢ ዘስፍር ህንፃ	አፖርታማ	
ape 	n	ጭራ አልቦ ዋዓግ	ጦጣ	
apostle 	n	ሓዋርያ	ሐዋርያ	
apparatus 	n	መሳራሕያ	መሳሪያ	
apparel 	n	ኽዳን፣ ዓለባ	ልብስ	
appear 	v	ምቐልቃል	ብቅአለ፣ ቅረበ	
appendicitis 	n	ትርፍ መዓንጣ፣ በንቲሸተ	ትርፍ አንጀት ብግነት	
appetite 	n	ሸውሃት፣ ድልየት መግቢ ወይ መስተ	የመምግብ ወይም የመጠጥ ፍላጎት	
appetizer 	n	ከሳተከርስ ቅድሚ መግቢ ዝብላዕ ወይ ዝስተ	የምግብ ፍላጎት ማነሳሻ ምግብ ወይም መጠጥ	
apple 	n	ቱፋሕ (ናይፍረምረ ዓይነት)	ቱፋህ (የፍራፍሬ ዓይነት)	
approve 	v	ምቐባል፣ ምፍቃድ	አዐደቀ፣ አመሰገነ	
april 	n	ሚያዚያ	ሚያዚያ	
apron 	n	በጃ ኽዳን ግርምቢ ያለ 	ሽርጥ	
aquarium 	n	ዓሳ ዝርበሐሉ ገንኢ	ሰው  ሰራሽ የአሳ ማራቢያ	
archaic 	n	ናይቀደም	የጥንት	
archangel 	n	ሊቀ መላኣኽ	ሊቀመልአክ	
archbishop 	n	ሊቀጳጳስ	ሊቀጳጳስ	
aardent 	adj	ፅኑዕ	ጽኑ	
area 	n	ስፍሒ	ስፋት	
arena 	n	ቅርዓት (መፃወቲ መአከቢ)	ሰፋ ያለ ክብ የመጫወቻ ቦታ	
argue 	v	ምክርኻር፣ ምክታዕ	ክርክር፣ ጭቅጭቅ	
arithmetic 	n	ሒሳብ፣ ቁፅሪ	ሐሒሳብ	
ark 	n	ታቦት	ታቦት	
arm 	n	ቕልፅም	ክንድ	
armchair 	n	መደገፊ ኢድ ዘለዎ መምበር	ባለመደገፊያ ምቹ ወንበር	
aerms 	n	አፅዋር ውግዎ	የጦር መሳሪያ	
army 	n	ሰራዊት ውግእ	የጦር ሠራዊት	
arrange 	v	አዳሊው	አዘጋጀ	
arranger 	n	መዳለዊ፣ መሳናዲኢ	አዘጋጅ	
array 	n	ሰልፊ፣ ኣቕሓ	ሰልፍ፣ ዕቃ	
arrow 	n	ኩናት	ወስፈንጥር፣ ቀስት	
art 	n	ጥበብ	ብልሀት፣ ጥበብ	
arterial 	adj	ዓብዮ	ዋና	
artery 	n	ዓብይ መንገዲ	ወዋና መንገድ	
article 	n	ኣቕሓ፣ ፁሑፍ	እቃ፣ ጽሑፍ	
artisan 	n	ኢደስራሕ ዝተምሃረ	ጥበበኛ	
artist 	n	ሳኣሊ፣ ፀራቢ	የኪነ ጥበብ ሰው	
ashtray 	n	መቖስቁሲ ሽጋራ	መተርኮሻ	
ask 	v	ምጥያቕ፣ ምሕታት	መተየቅ	
asphalt 	n	ቅጥራንን ሑፃን እትሓወስ	ቀጥራሜ	
ass 	n	አድጊ	አህያ	
assassinate 	v	ቀቲሉ	ገደለ	
association 	n	ማሕበር	ማህበር	
asthma 	n	አዝማ	መተንፈስ የሚያወውክ በሽታ፣ አስም	
at 	prep	ኣብ	በ	
athlete 	n	ጉያ ቕድድም፣ ስፖርተኛ	ስፖርተኛ	
atlas 	n	ስእሊ ዓለም ዝሓዘ መጽሓፍ	የተለያዩ ካርታዎች ያዘ መጽሀፍ	
attain 	v	ኣግኒዩ	አገኘ	
attention 	n	ምፍታን፣ ፈተነ	ሙከራ	
atteention 	n	ጥንቃቐ፣ ኣቓልቦ	ስሜት፣ መንፈስ	
attire 	n	ኽዳን	ልብስ	
attorney 	n	ተበቓ፣ ወዳእ ነገር	ጠበቃ፣ ነገረፈጅ	
audacious 	adj	ጅግና፣ ሓየት	ደፋር	
audience 	n	ተመልከቲ፣ ሰማዕቲ	ተመልካች፣ የተሰበሰበ ህዝብ	
audit 	n	ምዕብፃብ፣ ምዕራይ	ማጣራት	
auditor 	n	ሒሳብ ኣፃራዮ	ሒሳብ ተቆጣጣሪ	
auditorium 	n	አዳራሽ ሰስፖርትን፣ ትልሂትን ዋዕላን	የጉባኤ አዳራሽ	
August 	n	ነሓስ	ነሐሴ	
aunt 	n	ሓትኖ፣ ኣሞ/ሓፍቲኣቦ	አክስት	
author 	n	ደራሲ	ደራሲ	
authority 	n	ስልጣን	ሥልጣን	
authorize 	v	ፈቒዳ፣ ስልጣን ሂቡ	ፈቀደ፣ ስልጣን ሰጠ	
auto 	n	መኺና	መኪና	
automatic	adj	ኣቶማቲክ	አቶማቲክ	
autonomy 	n	ባዕልኻ ንባዕልኻ ምምሕዳር	የራስን አገዛዝ ነጻነት	
avenue 	n	ዐዓብይ ጎዳና	አውራ መንገድ	
aversior 	n	ዕልኢ	ጥላቻ	
avow 	v	ኣሚኑ	አመነ	
awake 	v	ምትሳእ፣ ምንቃሕ	መቀስቀስ	
awaed 	n	ሽልማት	ሽልማት	
awful 	adj	አሰቕቕ	አሰቃቂ	
ax,axe 	n	ፈፋስ፣ መዕረቢ	መጥረቢያ፣ ፋስ	
baboon 	n	ሕበይ፣ ጓል በረኻ	ዝንጅሮ	
baby 	n	ህፃን ወዲ ዌ ጓል 	ህፃን	
baby-sitter 	n	ነባይት፣ ሓብሓቢት ህፃን	ህጻናት ጠባቂ	
bachelor 	n	ንውልቁ ዝነብር	ላጤ	
back 	n	ሕቑ	ጀርባ	
back 	adj	ድሕሪት	የኃላ	
backyard 	n	ጓሮ	ጓሮ	
bacon 	n	ብሃፋ ሓዊ ዝበሰለ ስጋ ሓሰማ	በእንፋሎት የደረቀ አሳማ ስጋ	
bad 	adj	ሕማቕ፣ እከይ	ክፉ፣መጥፎ	
bad blood 	n	ፅልኢ	ጥላቻ	
bad tempered 	adj	ኹራ	ቁጡ	
baffle 	v	ግራ ኣትኒ	ግራ አጋባ	
bag 	n	ሳንታ፣ ከረፂት	ቦርሳ	
baggage 	n	ዐዓብይ ባልጃ	ሻኝጣ፣ ጓዝ	
bail 	v	ውሕስና	ዋስትና	
bake 	v	ምስንካት	ተበስ፣ ጋገረ	
baker 	n	ሰንካቲ/ት	ዳቦ ጋጋሪ	
bakery 	n	ቤት መሰንክቲሕብስቲ፣ እንዳባኒ	ዳቦ መጋገሪያ ቤት	
balcony 	n	አብርሻን ዝር ከብ ገበላ፣ ሰገነት	ሰገነት፣ ፎቅ	
bald 	n	መላጥ፣ በራሕ	መላጣ፣ ራሰበራ	
baleful 	adj	ኩፉእ	ክፉ	
ball 	n	ከኩሶ	ኳስ	
ballast 	n	ምንፃፍ	ምንጣፍ	
balloon 	n	ሰብ ሰርሖ ፍሕኛ	ፊኛ	
bamboon 	n	ሸሻምበቆ	ሸምበቆ	
banal 	adj	ዘረይብሕ	ተራ	
banana 	n	ሙዝ	ሙዝ	
band 	n	ጉጅለ	ጓድ	
bandage 	n	መሸፈኒ ቁስሊ ጨርቂ	ፋሻ	
bandit 	n	ሽፍታ	ሽፍታ	
bang 	vi	ድምፂ	ድምፅ	
banfle 	n	አምባር	አምባር	
bank 	v	ኾሚሩ	ቆለለ	
bank note 	n	ቕርሺ	ብር	
bankrupt 	v	አኽሲሩ	አከሰሰረ	
banquet 	n	ግብጃ	የእራት ግባዣ	
baptism 	n	ክርስትና	ክርስትና	
bar 	v	ዓዐወ	ዘጋ፣ ቀረቀረ	
bar 	v	ቤት ቡንን መስተን	ቡና ቤት	
barber 	n	መቓሳይ፣ ቀምቃምይ ጸጉሪ	ፀጉር አሰስተካካይ	
barber shop 	n	በቤት ምቕሶ	ፀጉር ማስተካከያ ቤት	
bare fisted 	adj	ጥራሕ ኢዱ	በባዶ እጅ	
bare foot 	adj	ጥራሕ እግሪ	ባዶ እግር	
bargain 	v	ተኻራኺሩ	ተከራከሪ	
bargain 	n	ዋጋዕዳጋ፣ ውፃእ ውረድ	ግዢ	
barge 	n	መርከብ	መርከብ	
bark 	vt	ልሒፁ 	ላጠ	
bark 	v	ምንባሕ፣ ናቋ ከልቢ	የውሻ ጩኸት	
bark 	v	ልሕፂ	ልጣጭ፣ ትርፊት	
barley 	n	ስገም	ገብስ	
barn 	n	በቤት ጥሪትን ከብትን ኣእ ኻልን ኣብ ዘመናዊ ሕርሻ ገዛ	የእህልና የከብት ማስቀመቻ ቤት 	
barracks 	n	ገዛ	ሠፈር	
barrage 	n	ጉድብ	ግድብ	
barrel 	n	በርቢል ብፅንጨቲ እተሰርሐ	በርሜል	
barren 	adj	መኻን፣ ዘይልሙዕ	መካን፣ ጠፍ	
barricade 	n	መሰናኽሊ፣ መንገዲ	መሰናክል (መንገድ መዝጋት)	
bartender 	n	ኣሰላፊ፣ ባሪስታ	የቡና ቤት አሳላፊ	
barter 	v	ለዊጡ	ለወጠ	
base 	adj	መንደቕ	መሠረት	
base 	adj	ዘይረብሕ	ተራ፣ አፀያፊ	
basement 	n	አብትሕቲ ህንፃ ዝረክብ ክፍሊ	ምድር ቤት	
bashful 	adj	ሓፋር	አይናፋር	
basin 	n	ሻሓኒ ጨሐሎ	ጎድጓዳ ሳህን	
basket 	n	ዘምቢል	ቅርጫት	
basket ball 	n	ዐወታ ስኪዔት	የቅርጫት ኳስ	
bastard 	n	ድቓላ	ዲቃላ	
bat 	n	ናይሌቲ ዒፍ፣ መንካዕ	የሌሊት ወፍ፣ መምቻ	
bathe 	vt	ሓፂቡ 	አጠበ	
batter 	v	ገሪፉ	ገረፈ	
battery 	n	ባትሪ	ባትሪ	
battle 	v	ተቓቲሉ፣ ተቓሊሱ	ተጋደለ፣ ታገለ	
battle 	n	ውግእ፣ ኩናት	ውጊያ፣ ጦርነት	
beach 	n	ደንደስ፣ ገምገም ባሕሪ	የባህር ዳርቻ	
beak 	n	ኣፍ	አፍ፣ መንቆር	
bean 	n	አዳጉራባሎንጋ ዝመሰለ	ባቄላ	
bear 	n	ድቢ	ድብ	
ብረደ 	n	ፅሕሚ፣ ችሕሚ	ጢም	
beast 	n	ኣራዊት	አውሬ	
beat up 	v	ደብዲቡ	ደበደበ	
beat off 	v	ኣባሪርዎ	አባረረ	
beautiful 	adj	ዕብቕቲ፣ ቆንጆ	ውብ፣ ቆንጆ	
beautify 	v	ኣጊፅዎ	አስጌጠ	
because 	conj	ስለዚ፣ ምኽንያቱ	ሰስለ፣ ምክንያቱም	
becoming 	adj	ተስማዕሚዑ	ተስማማ	
bed 	n	ዓራት	አልጋ	
bed 	v	ሓዲሩ	አደረ	
bed bug 	n	ቱኋን 	ትኋን	
bedding 	n	ከክዳን ዓራት	የአልጋ ልብስ	
bedraggled 	vt	ተጨማሊቑ	ተጨማለቀ	
bedroom 	n	ቤት መደቀሲ	መኝታ ቤት	
bed spread 	n	ክዳን ዓራት	የአልጋ ልብስ	
bee 	n	ንሕቢ	ንብ	
beef 	n	ስራ ከብቲ	የበሬ ሥጋ	
dry beef	n	ቋንጣ 	ቋንጣ	
beehive 	v	ነናይ ቆፎ ንህቢ	የንብ ቀፎ	
beer 	n	ቢራ	ቢራ	
before 	adv	ኣቐዲሙ፣ ቅድሚ	ከ-በፊት	
beg 	v	ምልማን	መለመን	
beget 	vt	ወሊዱ	ወለደ፣ አስከተለ	
beggar 	n	ለማኒ	ለማኝ	
begin 	vi	ጀሚሩ	ጀመረ	
beginning 	n	ና መጀመሪያ	የመጀመሪያ	
begulie 	vt	ኣታሊሉ	አታለለ	
behave 	vt	እሩም ጠባይ ይህላው	መለልካም ምግባር ፈፀመ	
behavior 	n	ባህሪ፣ አደብ፣ ጠባይ	ፀባይ፣ አድራጎት 	
behest 	n	ምትእትታው	ማግባባት	
behind 	adv	አብ ድሕሪት፣ ብድሕሪት	በ-ኋላ	
being 	n	ፉጡር	ፍጡር	
beleagure 	vt	ኽቢቡ	ከበበ	
belie 	vt	ሕሸት ተዛሪቡ	ውሸት ተናገረ	
believe 	vi	ኣሚኑ	አመነ	
bell 	n	መረዋሕ	ደወለ	
belly 	n	ከብዲ	ሆድ	
belong 	v	አባል ምኋን	አባል	
beloved 	adj	ፍቑር፣ ፋቕርቲ፣ ፍትዊ፣ ፍትውቲ	ወዳጅ	
below 	adv	ኣብታህቲ	ከ-ታች	
belt 	n	ቁልፊ፣ መዕጠቒ	ቀበቶ	
bench 	n	ነቂሕ ተገዳሚ መምበር	አገግዳሚ ወንበር	
bend 	vi	ምጉባጥ ፣ጥዋይ (ጥውጥዋይ መገዲ)	ጠመዝማዛ	
bend down 	vi	ኣጎንቢሱ	ጎንበስ አለ	
benefactor 	n	ረዳኢ፣ ሓጋዚ	ደጋፊ፣ ረዳት	
beneficence 	n	ሂብዎ	ችሮታ	
beneficial 	adj	ጠቓሚ	ጠቃሚ	
benevolent 	adj	ወሃቢ	በጎ አድራጊ	
benumb 	vt	አደንዚሁ	አደነዘዘ	
best 	n	ብሉዕ፣ ኣዝዩ ዝበለፀ	የበለተ፣ ምርጥ	
best man	n	ዐዓርኪ መርዓዊ	ሚዜ	
bestow 	n	ሸሊሙ፣ ሂቡ	ሸለመ፣ ሠጠ	
betray 	v	ኽዲዑ	ከዳ	
better 	adj	ዝበለዕ፣ ዝሓለፈ	የተሻለ	
between 	prep	ኣብ ሞንጎ ክልተሰብ ወይ ነገር 	በ-መካከል	
beverage 	n	መስተ	መጠጥ	
bewail 	v	ቦኽዩ	አለቀሰ	
beware 	v	ተጠንቀቕ	ተጠንቀቅ	
bible 	n	መፅሓፍ ቅዱስ	መጽሀፍ ቅድስ	
bicycle 	n	ብሽክሊታ	ቢስክሌት	
bid 	n	ጨረታ ብወድድር ዝሓሳረ ዋጋ ምቕራብ ዓብይ	ትልቅ	
big toe 	n	ዓብይ ዓባይቶ እግሪ	የእግር አውራ ጣት	
bill 	n	ዝርዝር አቑሑት ዘመልክት ወረቀት 	የሒሳብ ደረሰኝ	
billow 	n	ማዕበል	ማዕበል	
biology 	n	መፅናዕተ ህያዋን	ሰስነህይወት	
bird 	n	ዑፍ፣ ዒፍ	ወፍ	
birh 	n	ምውላድ፣ ትውልዲ	ትውልድ፣ መውለድ	
birth certificate 	n	ምስክር ልደት ወረቐት	የልደት ማስረጃ	
birthday 	n	ዕለት ልደት	የልደት ቀን	
birth place 	n	ቦታ ትውልዲ 	የትውልድ ስፍራ	
biscuit 	n	ብስኩት	ብስኩት	
bishop 	n	ጳጳስ 	ጳጳስ	
bit 	n	ጨጭራም፣ ቁራስ	ትንሽ	
bitch 	n	አንስተጥቲ ከልቢ	ሴት ውሻ	
bite 	vt	ምንካስ	ነከስ	
bitter 	adj	መረሪር	መራራ	
black 	adj	ዐሊም	ጥቁር	
black board 	n	ስለሌዳ ፅሕፈት	ጥቁር ሰሌዳ	
black market 	n	ዘትሕጋዊ ዕዳጋ	ጥቁር ገበያ	
baldder 	n	ፍሕኛ	ፊኛ	
blade	n	ስሕለት	ስለት	
blame 	v	ወቒሱ	ወቀሳ	
blaanket 	n	ኮበርታ	ብርድልብስ	
blare 	n	ኣውያት	ጩኸት	
blatant 	adj	ለፍላፊ	ለፍላፊ	
bleary 	adj	ፈዛዝ	ፈዛዛ	
blind 	n	መጋረጃ 	መጋረጃ	
blind 	adj	ዕውር፣ ዘይርኢ	ዓይነስውር	
block 	v	ምዕጋት	ደገነ፣ ዘጋ	
blockade 	n	ምዕፃው 	መዝጋት	
block head 	n	አደድጊ	ደደብ	
blood 	n	ደም 	ደም	
bloosm 	n	እምባባ 	አባባ	
blot 	n	ጠጥፍኣት	ጥፋት	
blouse 	n	ቀምሻ ሰበይቲ	የሴት ሸሚዝ	
blow 	vi	ነፊሱ	ነፈሰ	
blow 	n	ሞይቱ	ሞት	
blow up 	n	ፅልኢ	የጋለ ጭቅጭቅ	
bludgeon 	n	በትሪ	ዱላ	
blundre 	n	ጌጋ	ስህተት	
blunt	adj	ዘይቖርዕ፣ ጎቲም	ደነዝ፣ ዱልዱም	
boarding school 	n	ሓዳሪ ቤት ትምህርቲ	አዳሪ ት/ቤት	
boat 	n	ጀልባ	ጀልባ	
body 	n	አካል፣ሰውነት	አካል	
boil 	vt	ቀቂሉ፣ ኣፍሊሑ	ቀቀለ፣ አፈላ	
boil over 	v	ገንፊሉ	ገነፈለ	
bolster 	n	ትርኣስ	ትራስ	
bone 	n	ኣጽሚ	አጥንት	
boonnet 	n	ቆብዕ ሰበይቲ ወይ ህፃን 	ቆብ (የሴት ወይም የልጅ)	
book 	n	መፅሓፍ 	መጽሐፍ	
bokk keeper 	n	ታሓዚ ሒሳብ መዝገብ	ሰሒሳብ ያዥ	
book keeping 	n	ኣታሓሕዝ መዝገብ	መዝገብ አያያዝ	
boor 	n	አድ ዝዓቤ	ስድ አደግ	
boot 	n	ነዊሕ ጫማ	ረጅም ጫማ	
booze 	v	ዘስክር ብዙሕ መስተ ምስታይ	አሰስካሪ መጠጥ ብዙ መጠጣት 	
border 	n	ወሰን፣ ድምበር	ጠረፍ፣ መሰን	
borrow 	v	ተለቅሐ፣ ምልቃሕ	አለቀቃ፣ ሥራ አስኪያጅ	
